species,year,annual,cumulative,case
Fossil CH4,2056,8.52148439345691e-10,4.292156253994171e-08,GEN
Fossil CH4,2057,2.3165275999268774e-10,4.3153215299934395e-08,GEN
Fossil CH4,2058,3.1866953373772016e-10,4.347188483367212e-08,GEN
Fossil CH4,2059,3.12321128312406e-10,4.378420596198452e-08,GEN
Fossil CH4,2060,6.37965983973029e-10,4.442217194595755e-08,GEN
Fossil CH4,2061,2.6123790909265164e-10,4.4683409855050205e-08,GEN
Fossil CH4,2062,1.6767718819391186e-10,4.4851087043244116e-08,GEN
Fossil CH4,2063,2.349457895703271e-10,4.508603283281444e-08,GEN
Fossil CH4,2064,4.745298500223877e-10,4.5560562682836834e-08,GEN
Fossil CH4,2065,2.0783911395656955e-10,4.57684017967934e-08,GEN
Fossil CH4,2066,1.3152270156719336e-10,4.589992449836059e-08,GEN
Fossil CH4,2067,1.798048132098009e-10,4.607972931157039e-08,GEN
Fossil CH4,2068,3.6114528947327175e-10,4.6440874601043666e-08,GEN
Fossil CH4,2069,1.6674144579078408e-10,4.660761604683445e-08,GEN
Fossil CH4,2070,1.0575135666150815e-10,4.671336740349596e-08,GEN
Fossil CH4,2071,1.4332809772595872e-10,4.685669550122192e-08,GEN
Fossil CH4,2072,2.8837741704173327e-10,4.714507291826365e-08,GEN
Fossil CH4,2073,1.3657668882277118e-10,4.7281649607086423e-08,GEN
Fossil CH4,2074,8.738941451006369e-11,4.736903902159648e-08,GEN
Fossil CH4,2075,1.1453918048639983e-10,4.7483578202082885e-08,GEN
Fossil CH4,2076,1.9908965408022587e-10,4.768266785616311e-08,GEN
Fossil CH4,2077,9.254107506640972e-11,4.777520893122952e-08,GEN
Fossil CH4,2078,5.357615083022251e-11,4.782878508205974e-08,GEN
Fossil CH4,2079,8.151438054338559e-11,4.791029946260313e-08,GEN
Fossil CH4,2080,1.4124592134618475e-10,4.805154538394931e-08,GEN
Fossil CH4,2081,6.63510596005655e-11,4.811789644354988e-08,GEN
Fossil CH4,2082,3.8140562598076713e-11,4.815603700614796e-08,GEN
Fossil CH4,2083,5.8046398311516345e-11,4.821408340445947e-08,GEN
Fossil CH4,2084,1.0028519849399927e-10,4.831436860295347e-08,GEN
Fossil CH4,2085,4.7562210775622294e-11,4.836193081372909e-08,GEN
Fossil CH4,2086,2.790118349979887e-11,4.838983199722889e-08,GEN
Fossil CH4,2087,4.059457040594321e-11,4.8430426567634836e-08,GEN
Fossil CH4,2088,7.120213994540899e-11,4.850162870758024e-08,GEN
Fossil CH4,2089,3.412877454557627e-11,4.8535757482125824e-08,GEN
Fossil CH4,2090,1.9874662902494158e-11,4.8555632145028316e-08,GEN
Fossil CH4,2091,2.9051641351138913e-11,4.8584683786379455e-08,GEN
Fossil CH4,2092,5.0366720529234754e-11,4.863505050690869e-08,GEN
Fossil CH4,2093,2.4547969604028405e-11,4.8659598476512716e-08,GEN
Fossil CH4,2094,1.9272141736347645e-11,4.8678870618249064e-08,GEN
Fossil CH4,2095,1.6294727443724823e-11,4.869516534569279e-08,GEN
Fossil CH4,2096,3.494746277511141e-11,4.8730112808467904e-08,GEN
Fossil CH4,2097,1.772169853650331e-11,4.87478345070044e-08,GEN
Fossil CH4,2098,1.4298455060173868e-11,4.876213296206458e-08,GEN
Fossil CH4,2099,1.1563708818983023e-11,4.8773696670883565e-08,GEN
Fossil CH4,2100,1.2473999392100331e-11,4.878617067027566e-08,GEN
Fossil CH4,2101,1.2538192183482338e-11,4.879870886245914e-08,GEN
Fossil CH4,2102,1.2773950358630974e-11,4.8811482812817774e-08,GEN
Fossil CH4,2103,1.2530439034153736e-11,4.882401325185193e-08,GEN
Fossil CH4,2104,1.4290438475609812e-11,4.883830369032754e-08,GEN
Fossil CH4,2105,8.655793422765641e-12,4.884695948375031e-08,GEN
