year,annual,cumulative,case
2060,1.2035175654139083e-08,2.719434745168134e-07,GEN
2061,5.610231391382126e-09,2.775537059081955e-07,GEN
2062,2.481527737950213e-09,2.800352336461457e-07,GEN
2063,5.432375711894615e-09,2.8546760935804033e-07,GEN
2064,1.1417371014859279e-08,2.968849803728996e-07,GEN
2065,5.633894296716812e-09,3.025188746696164e-07,GEN
2066,2.402699597778465e-09,3.049215742673949e-07,GEN
2067,5.26393218335765e-09,3.1018550645075256e-07,GEN
2068,1.0939692541287106e-08,3.2112519899203966e-07,GEN
2069,5.636897672678995e-09,3.2676209666471866e-07,GEN
2070,2.3429296382355703e-09,3.291050263029542e-07,GEN
2071,5.140974810458024e-09,3.342460011134122e-07,GEN
2072,1.0603342081207023e-08,3.4484934319461923e-07,GEN
2073,5.625340501113679e-09,3.504746836957329e-07,GEN
2074,2.2972743549246454e-09,3.5277195805065756e-07,GEN
2075,5.02437997712672e-09,3.5779633802778426e-07,GEN
2076,9.848026109684462e-09,3.676443641374687e-07,GEN
2077,5.3399757467588324e-09,3.7298433988422755e-07,GEN
2078,2.0159588174026655e-09,3.7500029870163024e-07,GEN
2079,4.855119462407676e-09,3.798554181640379e-07,GEN
2080,9.556833175168437e-09,3.894122513392063e-07,GEN
2081,5.2434972703235744e-09,3.946557486095299e-07,GEN
2082,1.9583373932212744e-09,3.9661408600275116e-07,GEN
2083,4.718352910734803e-09,4.01332438913486e-07,GEN
2084,9.306513593478563e-09,4.1063895250696456e-07,GEN
2085,5.14247948045902e-09,4.1578143198742356e-07,GEN
2086,1.9447976723635126e-09,4.1772622965978705e-07,GEN
2087,4.5648305583132425e-09,4.222910602181003e-07,GEN
2088,9.09151503177613e-09,4.313825752498764e-07,GEN
2089,5.048226958268347e-09,4.364308022081448e-07,GEN
2090,1.8983369456073303e-09,4.3832913915375213e-07,GEN
2091,4.473764349844287e-09,4.428029035035964e-07,GEN
2092,8.894394533877932e-09,4.516972980374743e-07,GEN
2093,4.96406967973704e-09,4.566613677172114e-07,GEN
2094,4.4370440169552465e-09,4.6109841173416663e-07,GEN
2095,1.9987865828972666e-09,4.6309719831706387e-07,GEN
2096,8.532950840023978e-09,4.716301491570878e-07,GEN
2097,4.8894762301579385e-09,4.765196253872458e-07,GEN
2098,4.523102086770886e-09,4.810427274740167e-07,GEN
2099,1.9484432452083066e-09,4.82991170719225e-07,GEN
2100,4.235983508544768e-09,4.872271542277698e-07,GEN
